;;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
410207;Regresiranje tekoče proizvodnje v privatnih podjetjih;858162;0;835;5172;13771;7582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410208;Sredstva za pripravo brezposelnih na zaposlitev v privatnih podjetjih;14219531;15803643;8643092;9143407;2703856;2868433;3468593;3430567;4848555;1211833;6768000;6518500;5512826;3705792;0;0;0;0;467562;1748515;1679852;1965400
410209;Sredstva za preusposabljanje zaposlenih v privatnih podjetjih;1065746;207231;555209;735771;65900;663898;1087818;999015;1864879;3348440;686588;7611111;2770327;160556;0;552;0;0;0;0;5813;0
410210;Sredstva za zaposlovanje invalidnih oseb v privatnih podjetjih;4715406;7504448;7496161;9345109;5019758;5792460;6870068;6545329;3806163;58232;0;0;0;0;0;149449;0;0;0;0;0;601
410211;Sredstva za izvajanje javnih del v privatnih podjetjih;12060939;26986773;22056008;22197182;20329977;21832827;17839033;18312365;16843599;13871967;14672227;16569940;36250265;18442969;19488806;27675408;37933950;35288741;2690843;2411177;2115480;906070
410212;Sredstva za delovna mesta v privatnih podjetjih;4437206;3952015;1450889;2252572;4089361;12263296;15793425;9402381;3160393;1049555;2285462;983087;391778;1153919;568528;1231309;0;0;88488;91105;18525;7125
410213;Sredstva za spodbujanje izvoznih aktivnosti v privatnih podjetjih;13704578;25279426;21844444;31602943;23965823;25711085;24217110;5350644;4172742;2547698;973723;733022;668773;541219;261421;2384;0;0;0;0;0;0
410214;Sredstva za pospeševanje tehnološkega razvoja v privatnih podjetjih;3080524;7533279;6113116;9068710;14867903;14106208;15966789;17103388;15960518;17295554;17855224;41827352;69542362;50259681;23697126;27059031;27790958;9984703;3678311;3037998;2468623;1478415
410215;Sredstva za izvajanje ekoloških programov v privatnih podjetjih;223070;1807404;1338357;3679119;1863040;0;0;0;382;550;25037;4000000;0;0;0;3975250;0;0;0;0;0;0
410216;Subvencioniranje glavnic dolga privatnim podjetjem;0;0;0;0;0;0;0;0;0;0;37850;0;0;0;0;0;0;0;0;0;0;0
410217;Kompleksne subvencije v kmetijstvu;0;11092471;37994581;59199744;73185439;79557531;95987339;183332570;219980455;229425564;303093427;303469240;237288105;236433381;256148500;248056202;222055945;216405019;238719972;231931830;229650177;192603237
410218;Subvencioniranje turističnih programov in promocijskih aktivnosti;0;0;0;18656;15404;35628;0;196102;173187;8181;0;1209617;0;520099;317689;507776;31454;21000;35000;1106359;3323164;1173256
410219;Subvencioniranje standardov kakovosti;0;0;0;27708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410299;Druge subvencije privatnim podjetjem in zasebnikom;24773291;18780922;16323932;9786784;6219331;23720416;36061016;32123964;27962278;48497509;28178853;116604136;122582624;68298300;82384921;96125277;64046476;28073206;39290225;69187650;84891316;53814535
;;;;;;;;;;;;;;;;;;;;;;;
411;Transferi posameznikom in gospodinjstvom;530931010;582656211;628518417;689524228;745912799;838647745;897220658;936081739;969123726;961618745;1041254978;1267706589;1344018741;1449912740;1375662787;1241922836;1197768358;1183994357;1212526175;1261134965;1303691569;1082817284
;;;;;;;;;;;;;;;;;;;;;;;
4110;Transferi nezaposlenim;121331888;120249114;101511632;101936305;94811470;98886723;97499125;104733821;111878404;96115442;91544508;176439941;216316044;286251466;263142604;260247476;209170139;184083072;176886299;168579953;160431021;122268285
411000;Denarno nadomestilo;115438037;116462814;94162121;93060402;83647773;84224589;80643007;86145732;92564888;87499515;85502645;165615319;199845211;270354693;258101040;251891738;198111793;175009582;172415140;162284714;152332503;115634244
411001;Denarno nadomestilo v enkratnem znesku;25695;0;0;0;21606;141800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411002;Denarna pomoč;5405647;3781341;5004188;6196978;8585861;10202938;10616911;11087012;10428966;3267279;399658;73675;14164;4796;804;0;0;0;0;0;0;0
411003;Drugi transferi nezaposlenim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411099;Drugi transferi nezaposlenim;462509;4959;2345322;2678925;2556230;4317397;6239207;7501077;8884550;5348649;5642205;10750947;16456670;15891978;5040760;8355738;11058346;9073490;4471159;6295240;8098517;6634041
;;;;;;;;;;;;;;;;;;;;;;;
4111;Družinski prejemki in starševska nadomestila;212173516;255561793;306861177;340078907;364781382;395901049;413386300;434496587;459034974;488825285;558854761;603937464;617623210;630473425;578781841;521184902;499571533;494099958;498805786;507355455;531460058;428437468
411100;Otroški dodatek;110624728;146719619;185481572;200115845;213097099;229351049;233940188;236483173;241109265;245811678;275706554;287206776;289562424;293738066;249134697;221212952;217470787;220401873;227985919;234510101;245895095;187702532
411101;Dodatek za nego otroka;2700069;2633650;2991423;3399020;4791619;5778536;5887104;6111179;6445176;6816661;7583174;8059908;8246052;8362033;8504607;8467746;8542811;8545584;8993352;9537360;10149311;8107079
411102;Dodatek za veliko družino;0;0;0;0;2497392;5449914;7993218;8339680;9344668;10051451;10695269;11302714;11850403;12082453;11451196;10393192;10325890;10526058;10639420;10855545;11036610;12087499
411103;Darilo ob rojstvu otroka;2376759;1874076;2107071;2122503;3688514;3686510;4269961;4313665;4664215;5062553;5716502;5933937;6154556;6059353;4312881;4417882;4432037;4395739;4477485;4450882;6061164;4053598
411104;Starševsko nadomestilo;93680707;101823901;113754235;131832969;137578008;146271975;154545689;171950704;189366344;212425686;249904349;282007452;291975804;299347308;293925680;262779383;243896630;233786640;230190352;231726993;243104672;205834607
411105;Očetovsko nadomestilo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411106;Nadomestilo za nego in varstvo otroka;0;0;0;0;-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411107;Posvojiteljsko nadomestilo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411108;Starševski dodatek;2791254;2510547;2526876;2608570;3128762;4651449;5349407;5520574;5963992;6110454;6296191;6149758;6174721;6125855;6298020;8338635;9218605;10584833;10565974;10157850;8984644;5790841
411109;Drugi družinski prejemki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411199;Drugi družinski prejemki;0;0;0;0;0;711616;1400733;1777613;2141315;2546803;2952721;3276920;3659251;4758356;5154759;5575112;5684773;5859231;5953285;6116725;6228563;4861311
;;;;;;;;;;;;;;;;;;;;;;;
4112;Transferi za zagotavljanje socialne varnosti;52658826;56239016;62159122;73592794;98104385;136360645;161618373;167599489;165115787;143710202;135953203;170691094;178179692;175470450;216047292;200344042;221595474;242384787;252685644;272306777;305205632;297279500
411200;Denarni dodatek;36653986;38719610;43098442;32827022;1312774;719359;1951750;216175;495958;0;0;0;0;0;0;0;0;0;0;4083;0;16354
411201;Denarne pomoči kot edini vir;1462730;1514871;1530290;1362820;4483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411202;Sredstva za varstvo duševno in telesno prizadetih;10892774;12256806;13585963;15156949;17028867;18594541;20777474;21697775;22749795;23492569;24882902;25618737;25964610;26093297;26170789;26296234;26464003;26465383;26582172;39217695;37724028;41717783
411203;Zdravstveno zavarovanje prejemnikov edinega vira;227782;0;176030;220448;102672;104266;111920;118387;124088;122824;126226;144785;139587;135110;1114078;132430;130900;138545;130018;130622;131008;99148
411204;Zdravstveno zavarovanje duševno in telesno prizadetih;755922;1046231;927847;1034114;1194133;1323242;1554447;1534952;1614995;1622774;1697106;1744951;1771485;1780145;1784320;1775347;1772743;1778537;1790555;2741752;2386970;2751330
411205;Varstvo družin vojakov;12262;17623;26196;24382;20112;5211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411206;Varstveni dodatki k starostnim pokojninam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411207;Varstveni dodatki k invalidskim pokojninam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411208;Varstveni dodatki k družinskim pokojninam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411209;Dodatki k pokojninam, uveljavljenim v drugih republikah SFRJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
411210;Dodatki za pomoč in postrežbo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411211;Preživnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411212;Invalidnine za telesno okvaro;2653369;2683874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411213;Denarna socialna pomoč;0;0;0;20146855;75529836;115614027;137222782;144031716;140130951;118442602;109220695;129369992;150269728;147461897;186978105;156175210;176255740;193783912;201445839;199262996;229046988;202174944
411214;Državne pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411215;Enkratni pokojninski dodatek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411216;Posebni dodatek za socialno ogrožene;0;0;0;0;0;0;0;0;0;0;0;13799708;2760;0;0;0;0;0;0;0;0;0
411217;Varstveni dodatek - socialno varstveni prejemek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15964821;16972087;18918494;19928353;27783367;32725060;28861217
411218;Dodatki k pokojninam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411219;Letni dodatek k pokojninam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411299;Drugi transferi za zagotavljanje socialne varnosti;0;0;2814354;2820205;2911507;0;0;484;0;29433;26274;12922;31521;0;0;0;0;1299916;2808706;3166262;3191578;21658724
;;;;;;;;;;;;;;;;;;;;;;;
4113;Transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja;62287382;62066022;64950788;69449805;73954618;76481694;76093182;77413104;76920939;76755596;78308245;78312344;79460569;79493092;73978073;63628429;59524979;55531401;58572553;62040148;59957646;42242059
411300;Varstvo vojnih invalidov;23448141;24453386;25323999;26066952;26641667;26290961;25994541;25111184;24535994;23377117;22826330;21544191;20426595;19183309;16366233;16688377;15479605;14295224;13310284;12221913;11357585;7857778
411301;Varstvo vojnih veteranov;4470448;4789942;5424548;5759624;5792436;5926375;6671042;8465506;9381326;9896689;10441995;10477455;10831406;11640720;11664627;14653029;14001489;13210431;12832273;12232527;11093543;7864315
411302;Varstvo žrtev vojnega nasilja;22606353;16960596;17295542;18678759;20590055;21428669;21824924;21449152;21528674;20933325;20938360;20632641;21201382;20531776;17807215;18363027;17243500;16086525;15096922;14044505;13021920;9171845
411303;Republiške priznavalnine;261866;292442;283009;281555;260280;260655;259659;225592;204523;192779;164722;146707;129059;117109;103975;92482;84692;72889;67824;60014;48991;21324
411304;Sredstva za zdraviliško in klimatsko zdravljenje;1599698;2090712;1881168;2031459;1689833;1705001;2047812;1748344;2144970;1825609;2190571;1967993;1910551;2114121;786905;15027;0;0;0;0;0;0
411305;Sredstva iz naslova drugih zakonskih pravic na področju vojnih invalidov, vojnih veteranov in žrtev vojnega nasilja;9900875;13478943;14742522;16631455;18980347;20870033;19295204;20413326;19125453;20530078;21746267;23543358;24961575;25278359;26970778;13658099;12638161;11782427;17265250;23481189;24435607;17326797
411399;Drugi transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja;0;0;0;0;0;0;0;0;0;0;0;0;0;627698;278339;158389;77533;83905;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4114;Pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411400;Starostne pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411401;Invalidske pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411402;Družinske pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411403;Kmečke pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411404;Vojaške pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411405;Pokojnine, uveljavljene v drugih republikah bivše SFRJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411406;Pokojnine, nakazane v druge republike bivše SFRJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411407;Pokojnine, nakazane v tujino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411408;Dodatek za rekreacijo upokojencem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411409;Državne pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411410;Vdovske pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411499;Druge pokojnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4115;Nadomestila plač;48760;20992;0;0;50738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411500;Delna nadomestila;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411501;Nadomestila za invalidnost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411502;Začasna nadomestila;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411503;Nadomestila za čas poklicne rehabilitacije;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411504;Druga nadomestila plač;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411599;Druga nadomestila iz invalidskega zavarovanja;48760;20992;0;0;50738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4116;Boleznine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15900;13920;15590;27400;26990;25579
411600;Boleznine nad 30 dni, izplačane iz obveznega zdravstvenega zavarovanja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411699;Druge boleznine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15900;13920;15590;27400;26990;25579
;;;;;;;;;;;;;;;;;;;;;;;
4117;Štipendije;57609257;62028798;67382864;74735802;80284938;86701581;91417122;93885922;93543566;96381651;97282013;100811414;110748559;118997438;100172351;34417355;45533433;48726307;62114806;66495275;57644338;53328904
411700;Državne štipendije;54812450;59919273;65445556;72727304;78435544;61859425;64686542;67358294;66239930;67617458;66641475;66510016;74152587;83297223;68974501;20405734;39946318;42682023;53710247;54966355;45013345;41731922
411701;Kadrovske štipendije;78079;1030912;1192210;1159966;1287261;1096963;1367072;943698;813774;680010;536630;2610496;2842701;2780346;2586837;2137466;2024430;1885629;53528;659590;1393308;1463729
411702;Druge štipendije;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411703;Zoisove štipendije;0;0;0;0;0;0;0;0;0;0;7370043;29464479;31101506;29668242;26285979;9266637;689714;2315217;7437886;9216485;8170777;6806580
411704;Nagrada dijaku ali študentu za prispevek k trajnostnemu razvoju;0;0;0;0;0;0;0;0;0;0;0;241500;340250;386750;186250;13000;0;0;0;0;0;0
411799;Druge štipendije;2718727;1078613;745098;848533;562133;23745194;25363508;25583929;26489862;28084182;22733866;1984922;2311515;2864877;2138783;2594519;2872971;1843438;913145;1652845;3066908;3326673
;;;;;;;;;;;;;;;;;;;;;;;
4119;Drugi transferi posameznikom;24821382;26490477;25652834;29730615;33925268;44316051;57206554;57952816;62630055;59830568;79312249;137514333;141690668;159226869;143540626;162100631;162356901;159154912;163445497;184329957;188965885;139235490
411900;Regresiranje prevozov v šolo;6833992;6380998;5585153;7729038;7971784;8527454;10087644;11473614;12158224;12553306;12899866;13356835;13462091;12767174;21974276;43265300;38979124;39027540;40558026;44214274;44675539;37465035
411901;Regresiranje potovanj mladine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53532;0;0;0;0
411902;Doplačila za šolo v naravi;104323;110990;112984;112043;103210;143747;301969;303233;307705;314487;322623;330399;406407;406787;405666;406163;406457;406342;406765;406660;406746;406732
411903;Regresiranje prehrane učencev in dijakov;5110322;5528036;5684796;5596285;5434681;6131419;9294244;9825617;10281097;10780079;19697527;37739715;35897311;35200782;26436731;24643393;26669796;31588726;37506217;43981545;45680833;30877617
411904;Regresiranje študentske prehrane;5151060;5974444;6553067;6797177;8891338;11430953;12352466;12534178;12059398;11555537;12711919;12866127;13688847;17434622;17123415;14025445;14171718;12979789;12538041;11693054;11553309;7761078
411905;Regresiranje obrestne mere za kreditiranje študentov;0;1261267;0;157280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411906;Nezgodno zavarovanje vrhunskih športnikov;20831;38640;40430;42935;47878;109087;52102;52102;52102;42449;42249;42434;42434;63543;42443;0;84963;39996;39049;0;0;0
411907;Pokojninsko, invalidsko in zdravstveno zavarovanje določenih kategorij prebivalcev;1247064;1214143;1401963;1621663;1608386;5334855;4188106;4188658;4318457;4710847;5156804;4884532;5240533;5480439;5785223;5625908;5896629;6604625;7450970;7876465;8735249;7046710
411908;Denarne nagrade in priznanja;872132;951825;961026;1134291;1278412;1407579;1452323;1611231;1634737;1797546;2073566;2231096;2283709;2109285;2268224;2038566;2176905;1518953;1717467;1634451;1725304;1227361
411909;Regresiranje oskrbe v domovih;1417685;475298;0;0;0;0;69060;194821;225761;259946;456296;860559;930037;1000052;959088;874144;2254729;2203748;2229695;2273677;2175965;1783700
411910;Plačilo dnevnic, potnih in drugih stroškov v zvezi z zdravljenjem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1624;0;0
411911;Plačilo pogrebnin;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;2297548;3068877;3221556;3360898;4105758;3896585
411912;Plačilo posmrtnin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;804133;1000089;1140091;1136953;1581216;1787326
411920;Subvencioniranje stanarin;0;0;538821;781622;2226491;2527644;2860679;3054301;3198770;3234666;3267018;3449912;3499691;3403576;3125204;3165534;3124835;3010658;2838784;2682975;2732665;2054679
411921;Plačilo razlike med ceno programov v vrtcih in plačili staršev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411922;Izplačila družinskemu pomočniku;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
411923;Sredstva za sofinanciranje tehničnih pripomočkov invalidom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;598281;639476;677982;695386;562514
411999;Drugi transferi posameznikom in gospodinjstvom;4063973;4554836;4774594;5758279;6363065;8703314;16547961;14715061;18393804;14581707;22684381;61752724;66239607;81360609;65420357;68056178;65490064;57053756;53159359;64389397;64897916;44366152
;;;;;;;;;;;;;;;;;;;;;;;
412;Transferi nepridobitnim organizacijam in ustanovam;24503038;24850819;25881958;31655273;41346528;43848982;48424238;53745721;57882914;60629568;69234387;86036487;112114992;103500556;112631495;119251121;102121641;86986129;85003155;94067555;109042660;68944978
;;;;;;;;;;;;;;;;;;;;;;;
4120;Tekoči transferi nepridobitnim organizacijam in ustanovam;24503038;24850819;25881958;31655273;41346528;43848982;48424238;53745721;57882914;60629568;69234387;86036487;112114992;103500556;112631495;119251121;102121641;86986129;85003155;94067555;109042660;68944978
412000;Tekoči transferi nepridobitnim organizacijam in ustanovam;24503038;24850819;25881958;31655273;41346528;43848982;48424238;53745721;57882914;60629568;69234387;86036487;112114992;103500556;112631495;119251121;102121641;86986129;85003155;94067555;109042660;68944978
;;;;;;;;;;;;;;;;;;;;;;;
413;Drugi tekoči domači transferi;1426858508;1552309078;1675484257;2003236055;2286029329;2481813382;2757204935;2988807613;3096592112;2861090245;3026093611;3358860342;3358404332;3570570738;3376053635;3467066164;3456243789;3379494255;3292652052;3359973619;3225907864;2490067847
;;;;;;;;;;;;;;;;;;;;;;;
4130;Tekoči transferi občinam;122203936;131755027;136663628;140581344;139764706;160960543;165637402;210290571;207528274;18325591;17575797;63399486;10284657;27700422;24158981;17759368;15417806;79058698;60546681;44287990;22727940;31265812
